date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:15	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Oct%202018%2022:49:15%20GMT	http://maskx:Jebote1990@localhost/robots.txt		(from )
00:49:16	27076/27076	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Oct%202018%2022:49:15%20GMT	http://maskx:Jebote1990@localhost/wordpress/	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/index.html	(from )
00:49:16	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-577524ecad1ea%22	http://localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:16	31089/31089	---M--	200	added ('OK')	text/css	etag:%227971-57746b21fca28%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/font-awesome.min1849.css	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:17	10909/10909	---M--	200	added ('OK')	text/css	etag:%222a9d-57746b221b9c5%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:18	5213/5213	---M--	200	added ('OK')	text/css	etag:%22145d-57746b2217b50%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:18	859/859	---M--	200	added ('OK')	application/rss+xml	etag:%2252fb6bd782c3615e78013c8b4b305c9c%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/feed/index.html	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:18	750/750	---M--	200	added ('OK')	application/rss+xml	etag:%22ba330f0433d1f53354b77e85d4d1d786%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/comments/feed/index.html	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:18	1575/1575	---M--	200	added ('OK')	text/css	etag:%22627-57746b221d132%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/slick.min.css?ver=1.6.0	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/slick.minaff7.css	(from http://maskx:Jebote1990@localhost/wordpress/)
00:49:18	155260/155260	---M--	200	added ('OK')	text/css	etag:%2225e7c-57746b21f31ea%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.5.27	C:/My%20Web%20Sites/Stay%20beutifull/localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min6614.css	(from http://maskx:Jebote1990@localhost/wordpress/)
